,dropout,lr,bs,unet_type,val_loss
day02.csv,"0.0, 0.0, 0.0","1e-05, 0.01, 1e-05","4, 1, 2","unet-s, unet-m, unet-s","-4.67, -4.67, -4.669"
day03.csv,"0.0, 0.0, 0.0","0.0001, 0.001, 1e-05","8, 8, 2","unet-l, unet-m, unet-s","-4.371, -4.371, -4.37"
day04.csv,"0.0, 0.0, 0.0","0.001, 0.0001, 0.001","2, 2, 2","unet-l, unet-se, unet-s","-4.624, -4.622, -4.62"
day05.csv,"0.0, 0.0, 0.0","0.0001, 0.0001, 0.001","4, 8, 4","unet-m, unet-se, unet-m","-4.284, -4.283, -4.282"
day06.csv,"0.0, 0.0, 0.0","0.001, 0.0001, 0.0001","4, 4, 2","unet-l, unet-se, unet-l","-4.259, -4.259, -4.257"
day07.csv,"0.0, 0.0, 0.0","0.001, 0.0001, 0.0001","4, 4, 4","unet-se, unet-se, unet-m","-4.205, -4.205, -4.205"
day08.csv,"0.0, 0.0, 0.0","0.0001, 0.001, 0.0001","4, 4, 4","unet-se, unet-l, unet-s","-4.036, -4.036, -4.035"
day09.csv,"0.0, 0.0, 0.0","0.0001, 0.0001, 0.0001","1, 2, 4","unet-m, unet-l, unet-s","-4.111, -4.109, -4.108"
day10.csv,"0.0, 0.0, 0.0","0.0001, 0.0001, 0.0001","1, 2, 4","unet-s, unet-xs, unet-s","-4.089, -4.088, -4.088"
