All necessary directories have been created or already exist.
No lead day provided. Using default hyperparameters - LR: 0.0001, BS: 32, DROPOUT: 0.0, UNET_TYPE: unet-l
Running DL_TRAIN.py for day02 with dropout=0, lr=0.00001, bs=2, unet_type=unet-xs ...
Running DL_TRAIN.py for day02 with dropout=0, lr=0.00001, bs=4, unet_type=unet-xs ...
Running DL_TRAIN.py for day02 with dropout=0, lr=0.00001, bs=8, unet_type=unet-xs ...
Running DL_TRAIN.py for day02 with dropout=0, lr=0.0001, bs=2, unet_type=unet-xs ...
Running DL_TRAIN.py for day02 with dropout=0, lr=0.0001, bs=4, unet_type=unet-xs ...
Running DL_TRAIN.py for day02 with dropout=0, lr=0.0001, bs=8, unet_type=unet-xs ...
Running DL_TRAIN.py for day02 with dropout=0, lr=0.001, bs=2, unet_type=unet-xs ...
Running DL_TRAIN.py for day02 with dropout=0, lr=0.001, bs=4, unet_type=unet-xs ...
Running DL_TRAIN.py for day02 with dropout=0, lr=0.001, bs=8, unet_type=unet-xs ...
