,dropout,lr,bs,unet_type,val_loss
day02.csv,"0.0, 0.0, 0.0","0.0001, 0.0001, 0.0001","4, 4, 2","unet-l, unet-l, unet-trans-l","-5.142, -5.142, -5.142"
day03.csv,"0.0, 0.0, 0.0","1e-05, 0.0001, 0.0001","4, 4, 8","unet-trans-s, unet-att-s, unet-l","-5.08, -5.079, -5.078"
day04.csv,"0.0, 0.0, 0.0","0.0001, 0.0001, 0.0001","4, 4, 4","unet-l, unet-se, unet-att-s","-5.394, -5.393, -5.393"
day05.csv,"0.0, 0.0, 0.0","1e-05, 1e-05, 0.0001","2, 8, 4","unet-trans-s, unet-trans-s, unet-l","-4.816, -4.815, -4.813"
day06.csv,"0.0, 0.0, 0.0","0.0001, 1e-05, 0.0001","2, 4, 8","unet-trans-l, unet-trans-s, unet-l","-4.877, -4.876, -4.875"
day07.csv,"0.0, 0.0, 0.0","1e-05, 0.0001, 0.0001","2, 2, 8","unet-trans-s, unet-l, unet-att-s","-4.5, -4.495, -4.494"
day08.csv,"0.0, 0.0, 0.0","1e-05, 1e-05, 1e-05","8, 2, 4","unet-trans-s, unet-trans-s, unet-trans-s","-4.535, -4.534, -4.533"
day09.csv,"0.0, 0.0, 0.0","1e-05, 1e-05, 0.001","2, 8, 2","unet-trans-s, unet-trans-s, unet-att-s","-4.687, -4.685, -4.684"
day10.csv,"0.0, 0.0, 0.0","1e-05, 1e-05, 1e-05","2, 4, 8","unet-trans-s, unet-trans-s, unet-trans-s","-4.604, -4.602, -4.602"
